wave,start_week,end_week,name,date,value
Delta Wave,2021-07-03,2021-09-11,cases,2021-08-07,12.8
Delta Wave,2021-07-17,2021-09-25,deaths,2021-08-21,0.05
Delta Wave,2021-07-03,2021-09-11,test_positivity,2021-08-07,3.463548773064086e-4
First Wave,2020-06-13,2020-08-08,cases,2020-07-11,12.8
First Wave,2020-06-27,2020-08-22,deaths,2020-07-25,0.05
First Wave,2020-06-13,2020-08-08,test_positivity,2020-07-11,3.463548773064086e-4
Omicron Wave,2021-12-18,2022-01-15,cases,2022-01-01,12.8
Omicron Wave,2022-01-01,2022-01-29,deaths,2022-01-15,0.05
Omicron Wave,2021-12-18,2022-01-15,test_positivity,2022-01-01,3.463548773064086e-4
Winter Wave,2020-11-07,2021-02-20,cases,2020-12-29,12.8
Winter Wave,2020-11-21,2021-03-06,deaths,2021-01-12,0.05
Winter Wave,2020-11-07,2021-02-20,test_positivity,2020-12-29,3.463548773064086e-4
